id,nome
1,CHEVROLET
2,VOLKSWAGEN
3,FIAT
4,MERCEDES-BENZ
5,CITROEN
6,CHANA
7,HONDA
8,SUBARU
9,FERRARI
10,BUGATTI
11,LAMBORGHINI
12,FORD
13,HYUNDAI
14,JAC
15,KIA
16,GURGEL
17,DODGE
18,CHRYSLER
19,BENTLEY
20,SSANGYONG
21,PEUGEOT
22,TOYOTA
23,RENAULT
24,ACURA
25,ADAMO
26,AGRALE
27,ALFA ROMEO
28,AMERICAR
29,ASTON MARTIN
30,AUDI
31,BEACH
32,BIANCO
33,BMW
34,BORGWARD
35,BRILLIANCE
36,BUICK
37,CBT
38,NISSAN
39,CHAMONIX
40,CHEDA
41,CHERY
42,CORD
43,COYOTE
44,CROSS LANDER
45,DAEWOO
46,DAIHATSU
47,VOLVO
48,DE SOTO
49,DETOMAZO
50,DELOREAN
51,DKW-VEMAG
52,SUZUKI
53,EAGLE
54,EFFA
55,ENGESA
56,ENVEMO
57,FARUS
58,FERCAR
59,FNM
60,PONTIAC
61,PORSCHE
62,GEO
63,GRANCAR
64,GREAT WALL
65,HAFEI
66,HOFSTETTER
67,HUDSON
68,HUMMER
69,INFINITI
70,INTERNATIONAL
71,JAGUAR
72,JEEP
73,JINBEI
74,JPX
75,KAISER
76,KOENIGSEGG
77,LAUTOMOBILE
78,LAUTOCRAFT
79,LADA
80,LANCIA
81,LAND ROVER
82,LEXUS
83,LIFAN
84,LINCOLN
85,LOBINI
86,LOTUS
87,MAHINDRA
88,MASERATI
89,MATRA
90,MAYBACH
91,MAZDA
92,MENON
93,MERCURY
94,MITSUBISHI
95,MG
96,MINI
97,MIURA
98,MORRIS
99,MP LAFER
100,MPLM
101,NEWTRACK
102,NISSIN
103,OLDSMOBILE
104,PAG
105,PAGANI
106,PLYMOUTH
107,PUMA
108,RENO
109,REVA-I
110,ROLLS-ROYCE
111,ROMI
112,SEAT
113,UTILITARIOS AGRICOLAS
114,SHINERAY
115,SAAB
116,SHORT
117,SIMCA
118,SMART
119,SPYKER
120,STANDARD
121,STUDEBAKER
122,TAC
123,TANGER
124,TRIUMPH
125,TROLLER
126,UNIMOG
127,WIESMANN
128,CADILLAC
129,AM GEN
130,BUGGY
131,WILLYS OVERLAND
132,KASEA
133,SATURN
134,SWELL MINI
135,SKODA
136,KARMANN GHIA
137,KART
138,HANOMAG
139,OUTROS
140,HILLMAN
141,HRG
142,GAIOLA
143,TATA
144,DITALLY
145,RELY
146,MCLAREN
147,GEELY
